,Name of Institution,Default Rate: 2 yr
501,ROBERT MORRIS UNIVERSITY ILLINOIS,8.3
502,ROCK VALLEY COLLEGE,17.7
503,ROCKFORD COLLEGE,9.8
504,ROOSEVELT UNIVERSITY,6.0
505,DOMINICAN UNIVERSITY,5.9
506,SAUK VALLEY COMMUNITY COLLEGE,19.2
507,SCHOOL OF THE ART INSTITUTE OF CHICAGO,9.5
508,SHIMER COLLEGE,13.7
509,SOUTHEASTERN ILLINOIS COLLEGE,25.0
510,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,8.1
511,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,6.6
512,UNIVERSITY OF SAINT MARY OF THE LAKE,25.0
513,BENEDICTINE UNIVERSITY,7.4
514,SAINT XAVIER UNIVERSITY,8.4
515,SOUTH SUBURBAN COLLEGE OF COOK COUNTY,0.0
516,TRINITY CHRISTIAN COLLEGE,6.9
517,TRINITY INTERNATIONAL UNIVERSITY,9.2
518,TRITON COLLEGE,12.7
519,UNIVERSITY OF CHICAGO (THE),2.3
520,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,2.5
521,UNIVERSITY OF ILLINOIS AT CHICAGO,4.2
522,VANDERCOOK COLLEGE OF MUSIC,5.0
523,ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE,26.6
524,WESTERN ILLINOIS UNIVERSITY,10.7
525,WHEATON COLLEGE,1.7
526,WORSHAM COLLEGE OF MORTUARY SCIENCE,20.9
527,ANCILLA DOMINI COLLEGE,15.7
528,ANDERSON UNIVERSITY,5.4
529,BALL STATE UNIVERSITY,5.4
530,BETHEL COLLEGE,9.4
531,BUTLER UNIVERSITY,1.4
532,CHRISTIAN THEOLOGICAL SEMINARY,2.3
533,DEPAUW UNIVERSITY,2.2
534,EARLHAM COLLEGE,2.8
535,UNIVERSITY OF EVANSVILLE,4.0
536,FRANKLIN COLLEGE OF INDIANA,6.3
537,GOSHEN COLLEGE,4.9
538,GRACE COLLEGE AND THEOLOGICAL SEMINARY,4.2
539,HANOVER COLLEGE,3.7
540,HUNTINGTON UNIVERSITY,3.5
541,UNIVERSITY OF INDIANAPOLIS,5.8
